time,temperature,humidity,windspeed,city,THI,date
2024-06-03T17:00,24.3,51,3.2,温州,21.6589,2024-06-03
2024-06-03T18:00,22.5,78,4.4,温州,21.532,2024-06-03
2024-06-03T19:00,22.6,66,2.4,温州,21.0853,2024-06-03
2024-06-03T20:00,21.5,71,1.0,温州,20.383499999999998,2024-06-03
2024-06-03T21:00,21.9,64,1.8,温州,20.4348,2024-06-03
2024-06-03T22:00,21.0,68,3.3,温州,19.856,2024-06-03
2024-06-03T23:00,20.4,71,4.8,温州,19.458949999999998,2024-06-03
2024-06-04T00:00,19.8,74,4.8,温州,19.0421,2024-06-04
2024-06-04T01:00,17.5,83,7.7,温州,17.2195,2024-06-04
2024-06-04T02:00,16.2,88,8.4,温州,16.087799999999998,2024-06-04
2024-06-04T03:00,15.6,89,8.2,温州,15.53345,2024-06-04
2024-06-04T04:00,14.8,91,8.9,温州,14.78515,2024-06-04
2024-06-04T05:00,16.0,88,5.9,温州,15.901,2024-06-04
2024-06-04T06:00,17.5,82,4.9,温州,17.203,2024-06-04
2024-06-04T07:00,19.5,79,5.8,温州,18.9225,2024-06-04
2024-06-04T08:00,22.0,75,4.7,温州,20.96875,2024-06-04
2024-06-04T09:00,22.0,76,5.5,温州,21.01,2024-06-04
2024-06-04T10:00,22.0,80,6.6,温州,21.175,2024-06-04
2024-06-04T11:00,23.9,67,6.3,温州,22.1939,2024-06-04
2024-06-04T12:00,24.5,64,5.0,温州,22.52,2024-06-04
2024-06-04T13:00,25.5,60,4.1,温州,23.08,2024-06-04
2024-06-04T14:00,26.1,57,3.9,温州,23.3566,2024-06-04
2024-06-04T15:00,25.6,62,3.3,温州,23.2801,2024-06-04
2024-06-04T16:00,23.9,80,3.6,温州,22.866,2024-06-04
2024-06-04T17:00,23.9,85,2.3,温州,23.124499999999998,2024-06-04
2024-06-04T18:00,23.0,86,4.7,温州,22.3455,2024-06-04
2024-06-04T19:00,21.6,90,4.1,温州,21.209500000000002,2024-06-04
2024-06-04T20:00,20.6,92,4.4,温州,20.3316,2024-06-04
2024-06-04T21:00,20.0,90,5.2,温州,19.6975,2024-06-04
2024-06-04T22:00,20.8,86,3.8,温州,20.3149,2024-06-04
2024-06-04T23:00,20.3,89,2.4,温州,19.9491,2024-06-04
2024-06-05T00:00,20.3,91,2.2,温州,20.012900000000002,2024-06-05
2024-06-05T01:00,19.2,97,4.6,温州,19.12245,2024-06-05
2024-06-05T02:00,19.2,95,5.1,温州,19.07075,2024-06-05
2024-06-05T03:00,19.0,95,4.6,温州,18.87625,2024-06-05
2024-06-05T04:00,19.0,96,4.2,温州,18.901,2024-06-05
2024-06-05T05:00,19.0,96,3.4,温州,18.901,2024-06-05
2024-06-05T06:00,19.1,97,2.9,温州,19.0241,2024-06-05
2024-06-05T07:00,19.7,95,2.5,温州,19.557,2024-06-05
2024-06-05T08:00,20.4,94,3.4,温州,20.205299999999998,2024-06-05
2024-06-05T09:00,20.5,85,3.1,温州,20.005,2024-06-05
2024-06-05T10:00,20.5,86,1.8,温州,20.038,2024-06-05
2024-06-05T11:00,20.1,91,3.9,温州,19.8228,2024-06-05
2024-06-05T12:00,20.4,91,6.1,温州,20.10795,2024-06-05
2024-06-05T13:00,20.6,91,8.6,温州,20.29805,2024-06-05
2024-06-05T14:00,20.4,94,8.7,温州,20.205299999999998,2024-06-05
2024-06-05T15:00,20.4,95,6.6,温州,20.23775,2024-06-05
2024-06-05T16:00,20.2,94,8.8,温州,20.0119,2024-06-05
2024-06-05T17:00,19.6,94,11.6,温州,19.431700000000003,2024-06-05
2024-06-05T18:00,19.3,94,7.3,温州,19.1416,2024-06-05
2024-06-05T19:00,19.2,95,6.5,温州,19.07075,2024-06-05
2024-06-05T20:00,19.5,96,8.4,温州,19.39,2024-06-05
2024-06-05T21:00,18.2,94,5.8,温州,18.0779,2024-06-05
2024-06-05T22:00,18.2,94,4.1,温州,18.0779,2024-06-05
2024-06-05T23:00,18.3,95,4.3,温州,18.1955,2024-06-05
2024-06-06T00:00,18.4,94,5.5,温州,18.2713,2024-06-06
2024-06-06T01:00,18.2,94,7.2,温州,18.0779,2024-06-06
2024-06-06T02:00,18.0,94,7.1,温州,17.8845,2024-06-06
2024-06-06T03:00,17.9,94,8.3,温州,17.787799999999997,2024-06-06
2024-06-06T04:00,17.8,94,8.5,温州,17.691100000000002,2024-06-06
2024-06-06T05:00,17.8,94,8.2,温州,17.691100000000002,2024-06-06
2024-06-06T06:00,18.1,93,7.9,温州,17.9614,2024-06-06
2024-06-06T07:00,18.8,91,8.2,温州,18.58715,2024-06-06
2024-06-06T08:00,19.8,86,9.7,温州,19.3919,2024-06-06
2024-06-06T09:00,20.2,82,9.0,温州,19.6357,2024-06-06
2024-06-06T10:00,21.2,77,11.4,温州,20.35245,2024-06-06
2024-06-06T11:00,21.9,74,13.5,温州,20.8418,2024-06-06
2024-06-06T12:00,22.9,71,14.2,温州,21.5602,2024-06-06
2024-06-06T13:00,23.1,71,13.0,温州,21.7283,2024-06-06
2024-06-06T14:00,23.6,71,11.9,温州,22.14855,2024-06-06
2024-06-06T15:00,24.0,69,12.7,温州,22.38025,2024-06-06
2024-06-06T16:00,23.5,71,11.2,温州,22.0645,2024-06-06
2024-06-06T17:00,23.2,72,11.5,温州,21.8602,2024-06-06
2024-06-06T18:00,22.1,77,9.7,温州,21.1386,2024-06-06
2024-06-06T19:00,20.5,82,6.2,温州,19.906,2024-06-06
2024-06-06T20:00,19.0,89,5.6,温州,18.72775,2024-06-06
